Type	ID	Earthquake_occurrenceTime	Epicenter_Lon	Epicenter_Lat	Epicenter_Mag	Epicenter_Depth	    EEW_Lon 	EEW_Lat	EEW_Mag	EEW_Dep EEW_processing_time 
xL	1	201401061849040 	122.9468	25.3803	5.78	226.55					
xN	2	201401081815011 	123.4077	24.4582	5.96	72.58					
xY	3	201401141644027 	120.9843	23.8608	4.97	14.98	121.01	23.85	4.7	10	14
xY	4	201401141838012 	121.0812	22.8935	5.05	8.29	121.07	22.88	5.3	10	16
xY	5	201401141950005 	121.0808	22.8822	5.09	8.43	121.05	22.87	4.6	10	15
0Y	6	201401142306043 	121.0827	22.8945	4.53	8.33	121.07	22.96	4.7	40	18
xN	7	201401162040019 	123.3007	24.8333	5.23	130.98					
oY	8	201401232251030 	122.7765	24.5578	5.15	85.31	123.33	24.51	5.3	40	29
xY	9	201401250316011 	121.4832	23.794	4.71	11.84	121.56	23.79	4.6	30	15
xY	10	201402071624046 	122.5222	23.955	4.63	27.63	122.6	23.89	4.5	20	32
xY	11	201402212025017 	121.6012	24.699	5.6	60.9	121.67	24.72	5.2	40	15
xN	12	201402221031004 	123.3838	24.4445	5.08	70.68					
xY	13	201403021133005 	122.4535	23.4283	4.63	50.03	122.49	23.38	4.5	10	31
xN	14	201403022011018 	128.0027	26.731	7.69	196.78					
xY	15	201403152004036 	121.3858	22.2337	5.09	19.72	121.38	22.22	5	20	18
oY	16	201403171312056 	122.4175	24.0157	5.43	29.46	122.43	23.98	5.8	30	25
xY	17	201403191219026 	122.3205	24.0057	5.81	23.03	122.23	24	5.7	20	23
xN	18	201404100238005 	123.0683	23.7373	5.35	38.26					
xL	19	201404171450053 	122.5392	23.9532	4.72	28.63					
xY	20	201404251633005 	121.348	23.5477	4.71	17.64	121.33	23.57	4.5	10	16
xY	21	201405041243036 	121.6453	23.9355	5.23	35.98	121.67	23.96	5.3	30	15
xL	22	201405050828003 	122.4302	23.9962	4.66	28.41					
xY	23	201405101815040 	122.5145	23.6822	4.64	41.49	122.39	23.64	4.5	10	34
xY	24	201405101824031 	122.5135	23.7128	5.04	29.45	122.42	23.68	4.8	40	26
xY	25	201405210021013 	121.4325	23.735	5.99	16.45	121.41	23.73	5.8	20	16
xY	26	201405251241013 	121.1623	23.0638	5.04	12.74	121.15	23.07	4.7	10	16
xL	27	201405281658006 	121.7295	21.7693	4.71	19.32					
xL	28	201406062018020 	122.803	24.6423	4.53	113.09					
xL	29	201406091133003 	121.0815	22.0858	4.6	30.74					
xL	30	201406130147048 	122.3783	25.3893	4.6	257.83					
xY	31	201406142222043 	121.5285	23.7513	4.58	6.04	121.56	23.77	4.5	10	17
xY	32	201406171949013 	121.9687	24.5047	4.77	61.81	121.82	24.66	4.5	50	20
oY	33	201406210221009 	121.6505	23.4713	4.76	52.01	121.74	23.45	4.5	10	22
oY	34	201406221226014 	122.606	24.71	5.3	97.41	123.63	24.66	5.2	20	31
xL	35	201407072306005 	122.4618	23.286	5.17	38.75					
xY	36	201407091710018 	121.9893	23.4477	4.72	32.12	122.05	23.44	4.6	20	24
xY	37	201407170611054 	121.35	22.2667	5.27	19.08	121.35	22.27	5.1	20	25
oY	38	201408060346007 	121.4288	22.196	5.05	84.18	121.31	22.22	4.9	70	27
xL	39	201408090036028 	121.9438	21.0362	4.69	164.52					
xL	40	201408142022050 	121.0775	21.7085	4.87	23.85					
xL	41	201409062333007 	122.8975	24.0718	4.78	18.12					
xY	42	201409100512029 	122.0632	24.336	4.65	19.51	122.04	24.34	4.7	20	23
xL	43	201409102054004 	122.8675	23.838	4.61	34.45					
xY	44	201409202114003 	121.556	23.5935	4.96	31.54	121.51	23.64	4.5	20	18
xY	45	201409251035003 	121.2677	22.7915	5.34	18	121.23	22.81	4.9	10	16
xL	46	201409291644018 	121.2845	21.5612	4.63	48.77					
xY	47	201410071808010 	121.5798	23.6385	5.15	33.39	121.6	23.64	5	50	18
xL	48	201410131345059 	122.1318	21.1843	4.62	196.1					
xL	49	201410260447001 	122.1827	24.7252	5.04	85.96					
xY	50	201411191746021 	122.058	24.9035	5.18	13.86	122.1	24.88	5.3	10	24
xL	51	201411191747007 	122.0478	24.916	4.53	13.22					
xN	52	201411210329013 	120.0102	20.7135	5.83	71.26					
xY	53	201412022201025 	122.128	23.7547	4.85	28.31	122.12	23.74	4.7	20	22
xL	54	201412040114028 	122.1647	24.3223	4.51	55.99					
xY	55	201412102103039 	122.607	25.4492	6.7	268.62	121.64	24.95	5.6	40	47
xY	56	201412140506003 	121.4698	23.132	4.58	43.02	121.35	23.22	4.5	40	17
xY	57	201412271222005 	122.6525	24.5515	4.76	96.59	122.47	24.56	4.5	60	38
oY	58	201412301350041 	122.7277	24.8875	4.53	121.02	123.42	24.98	4.5	30	40
xY	59	201412310306004 	121.7878	24.8245	5.07	68.85	121.78	24.83	4.6	30	18
oY	60	201412310754036 	122.566	24.5887	5.61	96.12	122.73	24.58	5.4	80	30
oY	61	201501050553046 	122.0187	24.691	5.07	73.83	121.85	24.74	4.5	50	20
xY	62	201501070448032 	121.6915	24.2598	5.48	30.4	121.67	24.27	5.2	20	15
xL	63	201501081844014 	122.2293	21.127	4.58	45.79					
oY	64	201501161912015 	121.9457	24.4257	4.91	31.37	121.83	24.55	4.5	20	19
xL	65	201501190348033 	121.5757	22.8673	5.04	117.9					
xY	66	201501240715026 	120.395	23.2098	4.58	11.12	120.42	23.18	4.6	10	15
xL	67	201501271605058 	122.1957	21.2427	4.73	17.99					
xY	68	201502031010010 	123.214	24.928	4.72	122.21	122.72	24.78	4.8	90	51
xY	69	201502040814047 	121.6078	24.5877	4.66	52.67	121.59	24.58	4.6	40	24
xN	70	201502102131028 	122.0587	21.0968	4.53	171.1					
xY	71	201502120735035 	121.701	24.2658	4.71	29.72	121.67	24.26	4.5	20	16
xY	72	201502132006031 	121.3967	22.6582	6.28	27.78	121.31	22.68	6.4	50	18
xY	73	201502261650003 	122.3048	24.6862	5.25	97.59	121.92	24.78	5.1	50	24
xN	74	201503112302034 	121.8193	24.764	4.55	93.19					
xY	75	201503141445014 	121.8997	24.4772	4.56	27.4	121.94	24.42	4.6	30	16
xY	76	201503201201031 	122.8722	24.5072	4.9	69.09	122.87	24.47	4.9	50	39
xY	77	201503231013051 	121.6707	23.7257	6.19	38.4	121.73	23.71	6.2	30	20
xY	78	201503271909038 	121.6282	22.329	4.67	25.83	121.6	22.33	4.5	30	28
xY	79	201504050437058 	122.696	24.5693	4.7	103.93	122.99	24.51	4.7	80	38
xY	80	201504052050027 	121.5063	24.061	4.44	22.72	121.54	24.04	4.5	20	24
xY	81	201504061137030 	122.6995	24.461	5.39	79.39	122.91	24.39	5.1	90	33
xY	82	201504131713057 	121.0807	23.934	4.82	19.41	121.11	23.92	4.5	10	15
xY	83	201504151948036 	121.3483	22.7345	4.7	26.05	121.17	22.75	4.5	20	21
oY	84	201504200142056 	122.441	24.0223	6.38	30.57	121.96	24.41	5.4	20	31
xL	85	201504200149010 	122.4325	24.0527	5.04	30.67					
xY	86	201504201120047 	121.6587	23.66	5.5	38.34	121.58	23.77	5.4	20	19
oY	87	201504201145013 	122.5065	24.0353	6.15	33.87	122.66	23.91	5.9	10	31
xY	88	201504201159059 	122.512	23.9628	5.99	29.44	121.74	24.2	4.8	20	31
oY	89	201504252001037 	122.533	23.9287	5.73	34.78	122.37	23.94	5.4	30	27
xY	90	201505031309007 	122.4422	23.9982	5.02	24.77	122.63	23.85	5.1	10	33
oY	91	201505110838021 	120.4342	24.5572	4.93	12.3	120.56	24.44	4.8	10	20
xY	92	201505112343015 	121.4815	23.9448	4.67	17.34	121.5	23.93	4.9	20	14
xY	93	201505141835049 	120.4283	24.5648	4.57	11.48	120.52	24.52	4.6	20	22
xY	94	201505252122049 	120.8488	22.9435	4.85	5.72	120.89	22.94	4.9	20	16
oY	95	201505260056056 	122.466	23.9622	5.03	28.9	122.47	23.85	4.9	10	27
oY	96	201505280757043 	122.4147	24.0008	4.85	27.27	122.25	23.99	4.7	10	29
oY	97	201506161516008 	121.7182	23.4968	4.68	31.51	121.49	23.57	4.6	40	22
oY	98	201506210615030 	122.4385	23.949	4.96	22.4	122.17	23.96	4.8	60	31
oY	99	201506261616040 	123.3193	24.8355	5.31	114.33	123.79	24.69	5.4	70	40
xY	100	201507280659010 	121.4318	24.431	4.69	5.98	121.42	24.45	4.6	10	13
xY	101	201508070840057 	122.3618	24.9275	4.7	126.06	122.16	24.89	4.5	70	44
xN	102	201508101220034 	122.0583	21.3602	4.52	198.03					
oY	103	201508122221027 	122.2093	21.0492	5.31	204.03	121.82	21.65	4.5	100	61
oY	104	201508131408002 	122.391	24.0233	5.65	25.54	122.09	24.2	5.2	20	31
xN	105	201508160426040 	121.9788	21.2957	4.79	170.63					
xY	106	201509011324045 	121.4913	23.9148	5.46	17.09	121.51	23.89	5.8	20	16
xY	107	201509011734007 	122.3653	24.0115	5.01	26.2	122.18	24.03	4.6	30	29
xY	108	201509020218013 	122.0152	24.8735	4.58	11.31	122.07	24.86	4.7	10	17
xY	109	201509101523027 	121.8242	24.2405	4.93	18.62	121.77	24.27	4.5	10	21
xY	110	201509151756022 	121.8297	24.2535	4.86	19	121.77	24.28	4.7	10	18
xY	111	201509151937035 	121.8198	24.2478	5.69	19.78	121.79	24.29	5.5	10	16
xN	112	201509151937058 	121.8062	24.2827	4.72	19.02					
xY	113	201509161308059 	121.8285	24.2847	5.61	20.16	121.8	24.3	5.6	10	16
xY	114	201509161330026 	121.8337	24.2778	4.5	22.04	121.78	24.3	4.5	10	19
xY	115	201509161429058 	121.803	24.277	4.63	19.24	121.79	24.28	4.5	10	17
xY	116	201509240558001 	120.693	22.5967	4.74	31.28	120.74	22.58	4.6	10	16
xY	117	201509291937045 	121.5067	24.0217	4.84	18.67	121.54	24	4.9	20	15
xY	118	201510121114047 	121.4722	22.4463	5.22	20.52	121.47	22.43	5.3	30	23
xY	119	201510131149004 	121.6475	23.4845	5.46	49.09	121.72	23.49	5.4	50	23
xY	120	201510152352045 	121.7562	24.3193	4.63	18.8	121.75	24.33	4.6	10	16
